Source title,PubYear,Publisher,DOI
ACS Applied Polymer Materials,2020,American Chemical Society (ACS),2
ACS Applied Polymer Materials,2019,American Chemical Society (ACS),2
ACS Applied Nano Materials,2020,American Chemical Society (ACS),2
Environmental Entomology,2017,Oxford University Press (OUP),2
Engineering with Computers,2023,Springer Nature,2
Engineering Structures,2018,Elsevier,2
Engineering Structures,2017,Elsevier,2
Experiments in Fluids,2021,Springer Nature,2
Experimental Thermal and Fluid Science,2023,Elsevier,2
Evolution,2022,Wiley,2
Evolution,2019,Wiley,2
European Journal of Combinatorics,2018,Elsevier,2
Tetrahedron Letters,2016,Elsevier,2
Tetrahedron Letters,2017,Elsevier,2
Tetrahedron Letters,2019,Elsevier,2
The American Statistician,2019,Taylor & Francis,2
The Astrophysical Journal,2019,American Astronomical Society,2
AgriEngineering,2019,MDPI,2
Agricultural Economics,2018,Wiley,2
Agricultural Systems,2023,Elsevier,2
mSystems,2022,American Society for Microbiology,2
npj Computational Materials,2018,Springer Nature,2
npj Computational Materials,2019,Springer Nature,2
npj Computational Materials,2023,Springer Nature,2
Energy & Fuels,2021,American Chemical Society (ACS),2
Energy Conversion and Management,2018,Elsevier,2
Food Hydrocolloids,2020,Elsevier,2
Food Policy,2017,Elsevier,2
Molecular & Cellular Proteomics,2019,Elsevier,2
Molecules,2020,MDPI,2
NAR Genomics and Bioinformatics,2021,Oxford University Press (OUP),2
BioEnergy Research,2017,Springer Nature,2
Biochemical Engineering Journal,2022,Elsevier,2
Biochemical Journal,2017,Portland Press,2
Biochemical Journal,2018,Portland Press,2
Nano Letters,2016,American Chemical Society (ACS),2
Nano Letters,2020,American Chemical Society (ACS),2
BMC Plant Biology,2020,Springer Nature,2
BMC Research Notes,2018,Springer Nature,2
BMC Veterinary Research,2019,Springer Nature,2
Behavioural Brain Research,2018,Elsevier,2
Molecular Biology and Evolution,2018,Oxford University Press (OUP),2
Molecular Biology and Evolution,2022,Oxford University Press (OUP),2
Biochemistry,2017,American Chemical Society (ACS),2
Metabolic Engineering,2019,Elsevier,2
Metabolic Engineering,2021,Elsevier,2
Metabolites,2022,MDPI,2
Metallurgical and Materials Transactions A,2017,Springer Nature,2
Metallurgical and Materials Transactions A,2020,Springer Nature,2
Bioengineering,2017,MDPI,2
Bioengineering,2022,MDPI,2
Biofuels Bioproducts and Biorefining,2016,Wiley,2
MethodsX,2018,Elsevier,2
MethodsX,2023,Elsevier,2
Microbiology Resource Announcements,2018,American Society for Microbiology,2
Microchimica Acta,2022,Springer Nature,2
Micromachines,2016,MDPI,2
Micromachines,2021,MDPI,2
Micromachines,2023,MDPI,2
Microporous and Mesoporous Materials,2022,Elsevier,2
Meat and Muscle Biology,2021,Iowa State University,2
Bioinformatics,2020,Oxford University Press (OUP),2
Nanoscale,2018,Royal Society of Chemistry (RSC),2
Nanoscale,2021,Royal Society of Chemistry (RSC),2
Nanoscale,2022,Royal Society of Chemistry (RSC),2
Nature Catalysis,2018,Springer Nature,2
Nature Catalysis,2020,Springer Nature,2
BMC Genomics,2020,Springer Nature,2
BMC Genomics,2022,Springer Nature,2
BMC Plant Biology,2019,Springer Nature,2
Bioinformatics Advances,2022,Oxford University Press (OUP),2
Biological Journal of the Linnean Society,2016,Oxford University Press (OUP),2
Biology of Reproduction,2019,Oxford University Press (OUP),2
Mechanical Systems and Signal Processing,2021,Elsevier,2
Medical and Veterinary Entomology,2019,Wiley,2
Metabolic Engineering,2017,Elsevier,2
Acta Biomaterialia,2017,Elsevier,2
Acta Geotechnica,2020,Springer Nature,2
The Plant Journal,2018,Wiley,2
The Plant Journal,2022,Wiley,2
The Plant Phenome Journal,2023,Wiley,2
The Professional Animal Scientist,2017,American Registry of Professional Animal Scientists,2
Nature Computational Science,2021,Springer Nature,2
Nature Geoscience,2020,Springer Nature,2
Nature Plants,2023,Springer Nature,2
Macromolecules,2023,American Chemical Society (ACS),2
Manufacturing Letters,2023,Elsevier,2
Biomass and Bioenergy,2016,Elsevier,2
Biometrics,2020,Oxford University Press (OUP),2
Materials,2018,MDPI,2
Materials Research Letters,2017,Taylor & Francis,2
Materials Science and Engineering C,2017,Elsevier,2
Journal of the American Oil Chemists' Society,2018,Wiley,2
Journal of the American Statistical Association,2020,Taylor & Francis,2
Journal of the Royal Statistical Society Series A (Statistics in Society),2022,Oxford University Press (OUP),2
Journal of the Science of Food and Agriculture,2017,Wiley,2
Journal of the Science of Food and Agriculture,2018,Wiley,2
LWT,2020,Elsevier,2
Lab on a Chip,2017,Royal Society of Chemistry (RSC),2
Biophysical Journal,2021,Elsevier,2
Bioresource Technology,2017,Elsevier,2
Bioresource Technology,2019,Elsevier,2
Lab on a Chip,2019,Royal Society of Chemistry (RSC),2
Lab on a Chip,2022,Royal Society of Chemistry (RSC),2
Lab on a Chip,2023,Royal Society of Chemistry (RSC),2
Langmuir,2017,American Chemical Society (ACS),2
Livestock Science,2021,Elsevier,2
Macromolecules,2021,American Chemical Society (ACS),2
Boundary-Layer Meteorology,2017,Springer Nature,2
Neurobiology of Disease,2016,Elsevier,2
Neurobiology of Disease,2018,Elsevier,2
New Journal of Chemistry,2019,Royal Society of Chemistry (RSC),2
BMC Bioinformatics,2016,Springer Nature,2
BMC Bioinformatics,2021,Springer Nature,2
New Phytologist,2016,Wiley,2
North American Journal of Fisheries Management,2017,Wiley,2
Atmospheric Environment,2017,Elsevier,2
Biosensors and Bioelectronics,2019,Elsevier,2
Biosystems Engineering,2019,Elsevier,2
Biosystems Engineering,2020,Elsevier,2
Journal of Youth and Adolescence,2018,Springer Nature,2
Journal of the Agricultural and Applied Economics Association,2022,Wiley,2
Journal of the American Chemical Society,2016,American Chemical Society (ACS),2
Journal of the American Oil Chemists' Society,2016,Wiley,2
Journal of Structural Engineering,2016,American Society of Civil Engineers (ASCE),2
Journal of The American Society for Mass Spectrometry,2018,American Chemical Society (ACS),2
Briefings in Bioinformatics,2020,Oxford University Press (OUP),2
Journal of The American Society for Mass Spectrometry,2023,American Chemical Society (ACS),2
Journal of Thermal Biology,2018,Elsevier,2
Journal of Thermal Biology,2023,Elsevier,2
Journal of Veterinary Diagnostic Investigation,2022,SAGE Publications,2
Journal of Veterinary Pharmacology and Therapeutics,2019,Wiley,2
Journal of Virological Methods,2016,Elsevier,2
Journal of Virology,2018,American Society for Microbiology,2
Journal of Wildlife Management,2016,Wiley,2
Journal of Wind Engineering and Industrial Aerodynamics,2017,Elsevier,2
Journal of Wind Engineering and Industrial Aerodynamics,2018,Elsevier,2
Journal of Wind Engineering and Industrial Aerodynamics,2020,Elsevier,2
Journal of Wind Engineering and Industrial Aerodynamics,2021,Elsevier,2
Biotechnology Progress,2016,Wiley,2
Journal of Nondestructive Evaluation,2016,Springer Nature,2
Journal of Nutrition in Gerontology and Geriatrics,2018,Taylor & Francis,2
Journal of Nutrition in Gerontology and Geriatrics,2021,Taylor & Francis,2
Journal of Physics Condensed Matter,2018,IOP Publishing,2
Journal of Physics Condensed Matter,2019,IOP Publishing,2
Journal of Physics Condensed Matter,2020,IOP Publishing,2
Building and Environment,2021,Elsevier,2
Journal of Physics Energy,2023,IOP Publishing,2
Journal of Power Sources,2018,Elsevier,2
Journal of Power Sources,2021,Elsevier,2
Journal of Power Sources,2023,Elsevier,2
Journal of Rural Studies,2018,Elsevier,2
Journal of Scientific Computing,2016,Springer Nature,2
Journal of Scientific Computing,2019,Springer Nature,2
Journal of Scientific Computing,2021,Springer Nature,2
Journal of Stored Products Research,2018,Elsevier,2
Transactions of the American Fisheries Society,2018,Wiley,2
Autophagy,2019,Taylor & Francis,2
Autophagy,2022,Taylor & Francis,2
North American Journal of Fisheries Management,2020,Wiley,2
Nuclear Physics A,2017,Elsevier,2
Nuclear Physics A,2023,Elsevier,2
Nucleic Acids Research,2017,Oxford University Press (OUP),2
Nucleic Acids Research,2018,Oxford University Press (OUP),2
Nucleic Acids Research,2019,Oxford University Press (OUP),2
Nutrients,2018,MDPI,2
Nutrients,2019,MDPI,2
Nutrients,2020,MDPI,2
Oecologia,2016,Springer Nature,2
Oikos,2017,Wiley,2
Journal of Neuroimmune Pharmacology,2019,Springer Nature,2
Journal of Non-Crystalline Solids,2021,Elsevier,2
Archive for Rational Mechanics and Analysis,2021,Springer Nature,2
Atmosphere,2017,MDPI,2
Ore Geology Reviews,2019,Elsevier,2
Organic & Biomolecular Chemistry,2019,Royal Society of Chemistry (RSC),2
Organic & Biomolecular Chemistry,2020,Royal Society of Chemistry (RSC),2
Organic Letters,2017,American Chemical Society (ACS),2
Organic Letters,2019,American Chemical Society (ACS),2
Organic Letters,2021,American Chemical Society (ACS),2
Organic Letters,2023,American Chemical Society (ACS),2
Journal of Molecular Liquids,2022,Elsevier,2
Theoretical Computer Science,2016,Elsevier,2
Theoretical Population Biology,2019,Elsevier,2
Theoretical and Applied Genetics,2016,Springer Nature,2
Theoretical and Applied Genetics,2019,Springer Nature,2
Theriogenology,2016,Elsevier,2
Toxicological Sciences,2019,Oxford University Press (OUP),2
Journal of Manufacturing Science and Engineering,2017,ASME International,2
Carbon,2023,Elsevier,2
Catalysis Science & Technology,2018,Royal Society of Chemistry (RSC),2
Catalysts,2020,MDPI,2
Catalysts,2022,MDPI,2
Journal of Materials Chemistry A,2016,Royal Society of Chemistry (RSC),2
Journal of Materials Chemistry A,2018,Royal Society of Chemistry (RSC),2
Journal of Materials Chemistry C,2021,Royal Society of Chemistry (RSC),2
Journal of Materials Science,2023,Springer Nature,2
Journal of Mechanical Design,2016,ASME International,2
Journal of Medical Entomology,2019,Oxford University Press (OUP),2
Canadian Journal of Statistics,2017,Wiley,2
Carbohydrate Polymers,2016,Elsevier,2
Carbon,2020,Elsevier,2
Journal of Molecular Biology,2016,Elsevier,2
Aquatic Insects,2018,Taylor & Francis,2
Journal of Fluids and Structures,2020,Elsevier,2
Journal of Food Science,2016,Wiley,2
Journal of Food Science,2017,Wiley,2
Journal of Forensic Sciences,2016,Wiley,2
Journal of Forensic Sciences,2022,Wiley,2
Journal of Geophysical Research Biogeosciences,2018,American Geophysical Union (AGU),2
Journal of Geophysical Research: Atmospheres,2016,American Geophysical Union (AGU),2
Journal of Geophysical Research: Atmospheres,2019,American Geophysical Union (AGU),2
Journal of Graph Theory,2023,Wiley,2
Journal of Herpetology,2018,Society for the Study of Amphibians and Reptiles,2
Cell and Tissue Research,2021,Springer Nature,2
Journal of Industrial and Engineering Chemistry,2018,Elsevier,2
Journal of Insect Conservation,2020,Springer Nature,2
Journal of Integrated Pest Management,2022,Oxford University Press (OUP),2
Journal of Magnetism and Magnetic Materials,2018,Elsevier,2
Journal of Magnetism and Magnetic Materials,2022,Elsevier,2
Chem,2018,Elsevier,2
Organometallics,2018,American Chemical Society (ACS),2
PLOS Computational Biology,2018,Public Library of Science (PLoS),2
Applied Surface Science,2019,Elsevier,2
Applied and Environmental Microbiology,2017,American Society for Microbiology,2
Applied and Environmental Microbiology,2021,American Society for Microbiology,2
PLOS Pathogens,2021,Public Library of Science (PLoS),2
Philosophical Magazine Letters,2018,Taylor & Francis,2
Applied Physics Letters,2020,AIP Publishing,2
Applied Physics Letters,2021,AIP Publishing,2
Applied Physics Letters,2022,AIP Publishing,2
Applied Sciences,2022,MDPI,2
Photochemistry and Photobiology,2018,Wiley,2
Physica B Condensed Matter,2018,Elsevier,2
ChemCatChem,2021,Wiley,2
Journal of Fluid Mechanics,2018,Cambridge University Press (CUP),2
The Journal of Physical Chemistry Letters,2023,American Chemical Society (ACS),2
The Philosophical Magazine A Journal of Theoretical Experimental and Applied Physics,2017,Taylor & Francis,2
Acta Oecologica,2018,Elsevier,2
The Plant Cell,2017,Oxford University Press (OUP),2
The Plant Cell,2019,Oxford University Press (OUP),2
The Plant Cell,2020,Oxford University Press (OUP),2
The Plant Genome,2019,Wiley,2
Applied Energy,2019,Elsevier,2
ChemPhysChem,2021,Wiley,2
Journal of Environmental Quality,2017,Wiley,2
Journal of Environmental Quality,2023,Wiley,2
Journal of Experimental Botany,2017,Oxford University Press (OUP),2
Journal of Experimental Botany,2019,Oxford University Press (OUP),2
Journal of Experimental Botany,2022,Oxford University Press (OUP),2
Journal of Experimental Zoology Part A Ecological and Integrative Physiology,2017,Wiley,2
Journal of Family Psychology,2018,American Psychological Association (APA),2
Physics Letters B,2016,Elsevier,2
Physics Letters B,2017,Elsevier,2
Physics Letters B,2018,Elsevier,2
Chemical Communications,2019,Royal Society of Chemistry (RSC),2
Chemical Communications,2020,Royal Society of Chemistry (RSC),2
Chemical Engineering Journal,2020,Elsevier,2
Chemical Engineering Journal,2023,Elsevier,2
Chemical Engineering Science,2018,Elsevier,2
Journal of Dairy Science,2021,American Dairy Science Association,2
Journal of Economic Entomology,2021,Oxford University Press (OUP),2
Journal of Energy Storage,2019,Elsevier,2
Journal of Engineering Mechanics,2017,American Society of Civil Engineers (ASCE),2
Journal of Environmental Economics and Management,2020,Elsevier,2
Journal of Environmental Management,2019,Elsevier,2
ChemPhysChem,2016,Wiley,2
Physical Biology,2016,IOP Publishing,2
AIChE Journal,2020,Wiley,2
AIP Advances,2021,AIP Publishing,2
Transportation Research Part C Emerging Technologies,2019,Elsevier,2
Journal of Computational Chemistry,2018,Wiley,2
Chemical Geology,2019,Elsevier,2
Chemical Science,2017,Royal Society of Chemistry (RSC),2
Chemical Science,2021,Royal Society of Chemistry (RSC),2
Chemical Science,2023,Royal Society of Chemistry (RSC),2
Journal of Computational and Graphical Statistics,2022,Taylor & Francis,2
Journal of Controlled Release,2018,Elsevier,2
Chemical Communications,2017,Royal Society of Chemistry (RSC),2
Applied Energy,2020,Elsevier,2
Applied Engineering in Agriculture,2020,American Society of Agricultural and Biological Engineers (ASABE),2
Applied Engineering in Agriculture,2023,American Society of Agricultural and Biological Engineers (ASABE),2
Physical Chemistry Chemical Physics,2023,Royal Society of Chemistry (RSC),2
Physics Letters A,2016,Elsevier,2
Physiological Reports,2021,Wiley,2
Applied Catalysis B Environmental,2020,Elsevier,2
Phytopathology,2020,Scientific Societies,2
Plant Biotechnology Journal,2017,Wiley,2
Plant Biotechnology Journal,2018,Wiley,2
Plant Biotechnology Journal,2020,Wiley,2
Plant Direct,2018,Wiley,2
Plant Direct,2019,Wiley,2
Plant Direct,2020,Wiley,2
Plant Direct,2021,Wiley,2
Plant Disease,2016,Scientific Societies,2
Translational Animal Science,2022,Oxford University Press (OUP),2
ACS Synthetic Biology,2017,American Chemical Society (ACS),2
ACS Synthetic Biology,2019,American Chemical Society (ACS),2
ACS Synthetic Biology,2020,American Chemical Society (ACS),2
AIChE Journal,2016,Wiley,2
Child & Youth Care Forum,2020,Springer Nature,2
Journal of Chemical Information and Modeling,2020,American Chemical Society (ACS),2
Plant Health Progress,2017,Scientific Societies,2
Plant Methods,2018,Springer Nature,2
